"","population_density","age","income","education","has_bike_lane","bike_prop"
"161",4758.7,39.4,0.67328,135,1,0.0714285714285714
"162",5586.4,41.5,0.74176,160,1,0
"163",15932.2,49.1,0.42048,150,1,0.08
"164",8067.2,40.4,0.60288,245,1,0
"165",12817.7,37.4,0.44096,135,1,0
"166",15419.8,41.9,0.43584,125,0,0.0606060606060606
"167",992.3,40.9,0.50816,240,1,0.0526315789473684
"168",17163.3,39.7,0.38848,135,0,0.0810810810810811
"169",20064.3,40.9,0.46016,165,0,0
"170",15957.4,41.6,0.40448,165,0,0.05
"171",17818.7,41.2,0.44928,190,0,0.0444444444444444
"172",15833.3,39.2,0.49728,210,0,0.0666666666666667
"173",12370.9,42.4,0.44032,215,1,0
"174",4640.4,37.8,0.50688,415,1,0
"175",6140.7,40.4,0.6592,215,1,0.0833333333333333
"176",4478,39.7,1.024,135,1,0
"177",3220.1,43.4,1.09376,215,1,0
"178",3668,43.5,0.89088,175,1,0.1
"179",2583.2,45.6,1.24416,135,1,0.133333333333333
"180",2462.4,42.5,1.05728,155,1,0.142857142857143
"181",2709.5,45.4,0.71424,150,0,0
"182",2075,40.5,1.06112,180,0,0
"183",2783.7,43.7,0.88576,150,0,0
"184",3018.9,40.8,0.68096,190,0,0.105263157894737
"185",1847.6,41.4,0.93696,115,0,0
"186",3062.4,42.3,0.77952,175,0,0.166666666666667
"187",2976.5,42.4,0.82432,120,1,0
"188",3174.8,41.3,1.12128,145,1,0.181818181818182
"189",2583.3,42.2,0.90368,125,1,0
"190",6155.7,43.8,0.48128,395,1,0
"191",3855.4,42.8,0.74496,225,1,0
"192",4791.2,42.1,0.78592,325,1,0
"193",5239.3,42.3,0.86784,220,1,0.0869565217391304
"194",5796.8,42,0.6528,160,1,0.111111111111111
"195",6339.4,38.4,0.7296,155,0,0.0666666666666667
"196",6817.1,41,0.59904,110,0,0.111111111111111
"197",8806.9,38.9,0.57216,230,1,0
"198",7206.3,39.4,0.82688,195,1,0.0606060606060606
"199",5587.9,39.9,0.88064,160,1,0.0606060606060606
"200",11785,40.8,0.59136,150,1,0.142857142857143
"201",4358.1,38.8,0.57728,280,1,0.0408163265306122
"202",6356.8,40.3,0.73984,180,1,0.142857142857143
"203",6391.8,40.2,0.76544,170,0,0.0512820512820513
"204",5437,41.4,0.76032,130,1,0
"205",6427,40.4,0.90496,200,1,0.0625
"206",10320,66.4,0.39808,150,1,0
"207",6666.7,40,0.84736,130,1,0.185185185185185
"208",2336.7,48.5,0.31488,40,0,0
"209",5149.3,43.5,0.75328,205,1,0.0952380952380952
"210",4677,43.9,0.82944,170,1,0
"211",3087.6,43.9,0.69376,205,1,0
"212",4672.1,45,0.56448,165,1,0.111111111111111
"213",2200.9,51.8,1.13664,130,1,0
"214",3927.7,54.1,0.36736,310,1,0
"215",1444.5,47,0.7616,185,1,0
"216",3809.8,42.3,0.79616,320,1,0
"217",10478.2,41,0.45824,165,1,0
"218",2713.6,49,1.19296,125,1,0
